ID,Title,Relase,Audience Rating,Runtime,Genre,IMDB Rating,Votes,Box Office Earnings,Director,Actors,Description,Genre1,Genre2,Genre3,Drama,Crime,Adventure,Romance,SciFi,War,Family,Music,Comedy,Mystery,Musical,Biography,Action,Western,Thriller,Horror,FilmNoir,Fantasy,Sport,History,clean_plot,genre_new
513,Almost Famous,-2000,R,122 min,"Adventure, Comedy, Drama",7.9,"2,46,419","2,46,419",Cameron Crowe,"[Billy Crudup, Patrick Fugit, Kate Hudson, Frances McDormand]",A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,Adventure,Comedy,Drama,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,high school boy given chance write story rolling stone magazine coming rock band accompanies concert tour,"['Adventure', ' Comedy', ' Drama']"
514,Toy Story 2,-1999,G,92 min,"Animation, Adventure, Comedy",7.9,"5,12,326","5,12,326",John Lasseter,"[Ash Brannon, Lee Unkrich, Tom Hanks, Tim Allen]","When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",Animation,Adventure,Comedy,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,woody stolen toy collector buzz friends set rescue mission save woody becomes museum toy property roundup gang jessie prospector bullseye,"['Animation', ' Adventure', ' Comedy']"
515,Boogie Nights,-1997,R,155 min,Drama,7.9,"2,32,594","2,32,594",Paul Thomas Anderson,"[Mark Wahlberg, Julianne Moore, Burt Reynolds, Luis Guzmán]",The story of a young mans adventures in the California pornography industry of the late 1970s and early 1980s.,Drama,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,story young mans adventures california pornography industry late early,['Drama']
516,Whisper of the Heart,-1995,G,111 min,"Animation, Drama, Family",7.9,"48,091","48,091",Yoshifumi Kondô,"[Yoko Honna, Issey Takahashi, Takashi Tachibana, Shigeru Muroi]","A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.",Animation,Drama,Family,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,love story girl loves reading books boy previously checked library books chooses,"['Animation', ' Drama', ' Family']"
517,Once Were Warriors,-1994,R,102 min,"Crime, Drama",7.9,"30,805","30,805",Lee Tamahori,"[Rena Owen, Temuera Morrison, Mamaengaroa Kerr-Bell, Julian Arahanga]",A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,Crime,Drama,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,family descended maori warriors bedeviled violent father societal problems treated outcasts,"['Crime', ' Drama']"
518,True Romance,-1993,R,119 min,"Crime, Drama, Romance",7.9,"2,01,399","2,01,399",Tony Scott,"[Christian Slater, Patricia Arquette, Dennis Hopper, Val Kilmer]","In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.",Crime,Drama,Romance,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,detroit lonely pop culture geek marries call girl steals cocaine pimp tries sell hollywood meanwhile owners cocaine mob track attempt reclaim,"['Crime', ' Drama', ' Romance']"
519,Three Colors: Blue,-1993,R,94 min,"Drama, Music, Mystery",7.9,"85,742","85,742",Krzysztof Kieslowski,"[Juliette Binoche, Zbigniew Zamachowski, Julie Delpy, Benoît Régent]",A woman struggles to find a way to live her life after the death of her husband and child.,Drama,Music,Mystery,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,woman struggles find way live life death husband child,"['Drama', ' Music', ' Mystery']"
520,Ninja Scroll,-1993,Not Rated,94 min,"Animation, Action, Adventure",7.9,"33,657","33,657",Yoshiaki Kawajiri,"[Kôichi Yamadera, Emi Shinohara, Takeshi Aono, Osamu Saka]",A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.,Animation,Action,Adventure,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,vagabond swordsman aided beautiful ninja girl crafty spy confronting demonic clan killers ghost past leader bent overthrowing tokugawa shogunate,"['Animation', ' Action', ' Adventure']"
521,Carlitos Way,-1993,R,144 min,"Crime, Drama, Thriller",7.9,"1,95,612","1,95,612",Brian De Palma,"[Al Pacino, Sean Penn, Penelope Ann Miller, John Leguizamo]","A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",Crime,Drama,Thriller,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,puerto rican former convict released prison pledges stay away drugs violence despite pressure around lead better life outside n c,"['Crime', ' Drama', ' Thriller']"
522,Edward Scissorhands,-1990,PG-13,105 min,"Drama, Fantasy, Romance",7.9,"4,35,666","4,35,666",Tim Burton,"[Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall]","An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.",Drama,Fantasy,Romance,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,artificial man incompletely constructed scissors hands leads solitary life one day suburban lady meets introduces world,"['Drama', ' Fantasy', ' Romance']"
523,My Left Foot,-1989,R,103 min,"Biography, Drama",7.9,"65,836","65,836",Jim Sheridan,"[Daniel Day-Lewis, Brenda Fricker, Alison Whelan, Kirsten Sheridan]","Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.",Biography,Drama,None,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,christy brown born cerebral palsy learns paint write controllable limb left foot,"['Biography', ' Drama']"
524,Do the Right Thing,-1989,R,120 min,"Comedy, Drama",7.9,"85,179","85,179",Spike Lee,"[Danny Aiello, Ossie Davis, Ruby Dee, Richard Edson]","On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyones hate and bigotry smolders and builds until it explodes into violence.",Comedy,Drama,None,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hottest day year street bedford stuyvesant section brooklyn everyones hate bigotry smolders builds explodes violence,"['Comedy', ' Drama']"
525,Crimes and Misdemeanors,-1989,PG-13,104 min,"Comedy, Drama",7.9,"53,307","53,307",Woody Allen,"[Martin Landau, Woody Allen, Bill Bernstein, Claire Bloom]",An ophthalmologists mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.,Comedy,Drama,None,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ophthalmologists mistress threatens reveal affair wife married documentary filmmaker infatuated another woman,"['Comedy', ' Drama']"
526,The Untouchables,-1987,R,119 min,"Crime, Drama, Thriller",7.9,"2,71,555","2,71,555",Brian De Palma,"[Kevin Costner, Sean Connery, Robert De Niro, Charles Martin Smith]","During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him.",Crime,Drama,Thriller,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,era prohibition united states federal agent eliot ness sets stop ruthless chicago gangster al capone rampant corruption assembles small hand picked team help,"['Crime', ' Drama', ' Thriller']"
527,Hannah and Her Sisters,-1986,PG-13,107 min,"Comedy, Drama",7.9,"65,409","65,409",Woody Allen,"[Mia Farrow, Dianne Wiest, Michael Caine, Barbara Hershey]","Between two Thanksgivings two years apart, Hannahs husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",Comedy,Drama,None,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,two thanksgivings two years apart hannahs husband falls love sister lee hypochondriac ex husband rekindles relationship sister holly,"['Comedy', ' Drama']"
528,The Breakfast Club,-1985,R,97 min,"Comedy, Drama",7.9,"3,46,017","3,46,017",John Hughes,"[Emilio Estevez, Judd Nelson, Molly Ringwald, Ally Sheedy]",Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.,Comedy,Drama,None,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,five high school students meet saturday detention discover lot common thought,"['Comedy', ' Drama']"
529,Brazil,-1985,R,132 min,"Drama, SciFi",7.9,"1,83,677","1,83,677",Terry Gilliam,"[Jonathan Pryce, Kim Greist, Robert De Niro, Katherine Helmond]",A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,Drama,SciFi,None,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bureaucrat dystopic society becomes enemy state pursues woman dreams,"['Drama', ' SciFi']"
530,This Is Spinal Tap,-1984,R,82 min,"Comedy, Music",7.9,"1,26,130","1,26,130",Rob Reiner,"[Rob Reiner, Michael McKean, Christopher Guest, Kimberly Stringer]","Spinal Tap, one of Englands loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.",Comedy,Music,None,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,spinal tap one englands loudest bands chronicled film director marty dibergi proves fateful tour,"['Comedy', ' Music']"
531,A Christmas Story,-1983,PG,94 min,"Comedy, Family",7.9,"1,27,493","1,27,493",Bob Clark,"[Peter Billingsley, Melinda Dillon, Darren McGavin, Scott Schwartz]","In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.",Comedy,Family,None,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,young boy named ralphie attempts convince parents teacher santa red ryder bb gun really perfect christmas gift,"['Comedy', ' Family']"
532,The Blues Brothers,-1980,R,133 min,"Adventure, Comedy, Crime",7.9,"1,77,874","1,77,874",John Landis,"[John Belushi, Dan Aykroyd, Cab Calloway, John Candy]","Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised.",Adventure,Comedy,Crime,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,jake blues released prison puts together old band save catholic home brother elwood raised,"['Adventure', ' Comedy', ' Crime']"
533,Manhattan,-1979,R,96 min,"Comedy, Drama, Romance",7.9,"1,28,619","1,28,619",Woody Allen,"[Woody Allen, Diane Keaton, Mariel Hemingway, Michael Murphy]",The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friends mistress.,Comedy,Drama,Romance,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,life divorced television writer dating teenage girl complicated falls love best friends mistress,"['Comedy', ' Drama', ' Romance']"
534,All That Jazz,-1979,R,123 min,"Drama, Music, Musical",7.9,"26,985","26,985",Bob Fosse,"[Roy Scheider, Jessica Lange, Ann Reinking, Leland Palmer]","Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer.",Drama,Music,Musical,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,director choreographer bob fosse tells life story details sordid career joe gideon womanizing drug using dancer,"['Drama', ' Music', ' Musical']"
535,Dawn of the Dead,-1978,Unrated,127 min,"Action, Adventure, Horror",7.9,"1,08,759","1,08,759",George A. Romero,"[David Emge, Ken Foree, Scott H. Reiniger, Gaylen Ross]","Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.",Action,Adventure,Horror,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,following ever growing epidemic zombies risen dead two philadelphia w team members traffic reporter television executive girlfriend seek refuge secluded shopping mall,"['Action', ' Adventure', ' Horror']"
536,The Holy Mountain,-1973,R,114 min,"Adventure, Drama, Fantasy",7.9,"35,085","35,085",Alejandro Jodorowsky,"[Alejandro Jodorowsky, Horacio Salinas, Zamira Saunders, Juan Ferrara]","In a corrupt, greed-fueled world, a powerful alchemist leads a Christ-like character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",Adventure,Drama,Fantasy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,corrupt greed fueled world powerful alchemist leads christ like character seven materialistic figures holy mountain hope achieve enlightenment,"['Adventure', ' Drama', ' Fantasy']"
537,Amarcord,-1973,R,123 min,"Comedy, Drama",7.9,"38,598","38,598",Federico Fellini,"[Magali Noël, Bruno Zanin, Pupella Maggio, Armando Brancia]",A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,Comedy,Drama,None,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,series comedic nostalgic vignettes set italian coastal town,"['Comedy', ' Drama']"
538,The Discreet Charm of the Bourgeoisie,-1972,PG,102 min,Comedy,7.9,"37,104","37,104",Luis Buñuel,"[Fernando Rey, Delphine Seyrig, Paul Frankeur, Bulle Ogier]","A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",Comedy,None,None,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,surreal virtually plotless series dreams centered around six middle class people consistently interrupted attempts meal together,['Comedy']
539,"Aguirre, the Wrath of God",-1972,Not Rated,95 min,"Action, Adventure, Biography",7.9,"50,613","50,613",Werner Herzog,"[Klaus Kinski, Ruy Guerra, Helena Rojo, Del Negro]","In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.",Action,Adventure,Biography,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,th century ruthless insane lope de aguirre leads spanish expedition search el dorado,"['Action', ' Adventure', ' Biography']"
540,Harold and Maude,-1971,PG,91 min,"Comedy, Drama, Romance",7.9,"69,095","69,095",Hal Ashby,"[Ruth Gordon, Bud Cort, Vivian Pickles, Cyril Cusack]","Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",Comedy,Drama,Romance,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,young rich obsessed death harold finds changed forever meets lively septuagenarian maude funeral,"['Comedy', ' Drama', ' Romance']"
541,Patton,-1970,GP,172 min,"Biography, Drama, War",7.9,"92,084","92,084",Franklin J. Schaffner,"[George C. Scott, Karl Malden, Stephen Young, Michael Strong]",The World War II phase of the career of controversial American general George S. Patton.,Biography,Drama,War,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,world war ii phase career controversial american general george patton,"['Biography', ' Drama', ' War']"
542,The Wild Bunch,-1969,R,135 min,"Action, Adventure, Western",7.9,"75,790","75,790",Sam Peckinpah,"[William Holden, Ernest Borgnine, Robert Ryan, ""Edmond OBrien""]","An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",Action,Adventure,Western,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,aging group outlaws look one last big score traditional american west disappearing around,"['Action', ' Adventure', ' Western']"
543,Night of the Living Dead,-1968,Not Rated,96 min,"Horror, Thriller",7.9,"1,12,613","1,12,613",George A. Romero,"[Duane Jones, ""Judith ODea"", Karl Hardman, Marilyn Eastman]","A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a bloodthirsty, flesh-eating breed of monsters who are ravaging the East Coast of the United States.",Horror,Thriller,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,ragtag group pennsylvanians barricade old farmhouse remain safe bloodthirsty flesh eating breed monsters ravaging east coast united states,"['Horror', ' Thriller']"
544,The Lion in Winter,-1968,PG,134 min,"Biography, Drama, History",7.9,"28,320","28,320",Anthony Harvey,"[""Peter OToole"", Katharine Hepburn, Anthony Hopkins, John Castle]","1183 A.D.: King Henry IIs three sons all want to inherit the throne, but he wont commit to a choice. They and his wife variously plot to force him.",Biography,Drama,History,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,king henry iis three sons want inherit throne wont commit choice wife variously plot force,"['Biography', ' Drama', ' History']"
545,In the Heat of the Night,-1967,Not Rated,110 min,"Crime, Drama, Mystery",7.9,"65,452","65,452",Norman Jewison,"[Sidney Poitier, Rod Steiger, Warren Oates, Lee Grant]",A black police detective is asked to investigate a murder in a racially hostile southern town.,Crime,Drama,Mystery,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,black police detective asked investigate murder racially hostile southern town,"['Crime', ' Drama', ' Mystery']"
546,Charade,-1963,Passed,113 min,"Comedy, Mystery, Romance",7.9,"65,747","65,747",Stanley Donen,"[Cary Grant, Audrey Hepburn, Walter Matthau, James Coburn]",Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,Comedy,Mystery,Romance,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,romance suspense ensue paris woman pursued several men want fortune murdered husband stolen trust,"['Comedy', ' Mystery', ' Romance']"
547,The Manchurian Candidate,-1962,PG-13,126 min,"Drama, Thriller",7.9,"69,969","69,969",John Frankenheimer,"[Frank Sinatra, Laurence Harvey, Janet Leigh, Angela Lansbury]",A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.,Drama,Thriller,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,former prisoner war brainwashed unwitting assassin international communist conspiracy,"['Drama', ' Thriller']"
548,Spartacus,-1960,PG-13,197 min,"Adventure, Biography, Drama",7.9,"1,21,276","1,21,276",Stanley Kubrick,"[Kirk Douglas, Laurence Olivier, Jean Simmons, Charles Laughton]",The slave Spartacus leads a violent revolt against the decadent Roman Republic.,Adventure,Biography,Drama,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,slave spartacus leads violent revolt decadent roman republic,"['Adventure', ' Biography', ' Drama']"
549,LAvventura,-1960,Not Rated,144 min,"Drama, Mystery",7.9,"25,459","25,459",Michelangelo Antonioni,"[Gabriele Ferzetti, Monica Vitti, Lea Massari, Dominique Blanchar]","A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other.",Drama,Mystery,None,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,woman disappears mediterranean boating trip search lover best friend become attracted,"['Drama', ' Mystery']"
550,Breathless,-1960,Not Rated,90 min,"Crime, Drama",7.9,"70,623","70,623",Jean-Luc Godard,"[Jean-Paul Belmondo, Jean Seberg, Daniel Boulanger, Henri-Jacques Huet]","A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy.",Crime,Drama,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,small time thief steals car impulsively murders motorcycle policeman wanted authorities reunites hip american journalism student attempts persuade run away italy,"['Crime', ' Drama']"
551,Hiroshima Mon Amour,-1959,Not Rated,90 min,"Drama, Romance",7.9,"27,218","27,218",Alain Resnais,"[Emmanuelle Riva, Eiji Okada, Stella Dassas, Pierre Barbaud]",A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.,Drama,Romance,None,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,french actress filming anti war film hiroshima affair married japanese architect share differing perspectives war,"['Drama', ' Romance']"
552,The Searchers,-1956,Passed,119 min,"Adventure, Drama, Western",7.9,"77,999","77,999",John Ford,"[John Wayne, Jeffrey Hunter, Vera Miles, Ward Bond]",An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.,Adventure,Drama,Western,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,american civil war veteran embarks journey rescue niece comanches,"['Adventure', ' Drama', ' Western']"
553,East of Eden,-1955,PG,118 min,Drama,7.9,"39,192","39,192",Elia Kazan,"[James Dean, Raymond Massey, Julie Harris, Burl Ives]",A wilful young man contends against his brother for the attention of their religious father while reconnecting with his estranged mother and falling for his brothers girlfriend.,Drama,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wilful young man contends brother attention religious father reconnecting estranged mother falling brothers girlfriend,['Drama']
554,High Noon,-1952,PG,85 min,"Drama, Thriller, Western",7.9,"95,212","95,212",Fred Zinnemann,"[Gary Cooper, Grace Kelly, Thomas Mitchell, Lloyd Bridges]","A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.",Drama,Thriller,Western,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,town marshal despite disagreements newlywed bride townspeople around must face gang deadly killers alone high noon gang leader outlaw sent years ago arrives noon train,"['Drama', ' Thriller', ' Western']"
555,Harvey,-1950,Approved,104 min,"Comedy, Drama, Fantasy",7.9,"51,831","51,831",Henry Koster,"[James Stewart, Wallace Ford, William H. Lynn, Victoria Horne]","Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.",Comedy,Drama,Fantasy,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,due insistence invisible six foot tall rabbit best friend whimsical middle aged man thought family insane may wiser anyone knows,"['Comedy', ' Drama', ' Fantasy']"
556,Miracle on 34th Street,-1947,Not Rated,96 min,"Comedy, Drama, Family",7.9,"38,951","38,951",George Seaton,"[Edmund Gwenn, ""Maureen OHara"", John Payne, Gene Lockhart]","When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing.",Comedy,Drama,Family,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,nice old man claims santa claus institutionalized insane young lawyer decides defend arguing court real thing,"['Comedy', ' Drama', ' Family']"
557,Notorious,-1946,Not Rated,102 min,"Drama, FilmNoir, Romance",7.9,"89,925","89,925",Alfred Hitchcock,"[Cary Grant, Ingrid Bergman, Claude Rains, Louis Calhern]",A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,Drama,FilmNoir,Romance,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,woman asked spy group nazi friends south america far go ingratiate,"['Drama', ' FilmNoir', ' Romance']"
558,The Big Sleep,-1946,Not Rated,114 min,"Crime, FilmNoir, Mystery",7.9,"77,258","77,258",Howard Hawks,"[Humphrey Bogart, Lauren Bacall, John Ridgely, Martha Vickers]","Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, hes seen murder, blackmail, and what might be love.",Crime,FilmNoir,Mystery,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,private detective philip marlowe hired wealthy family complex case hes seen murder blackmail might love,"['Crime', ' FilmNoir', ' Mystery']"
559,The Lost Weekend,-1945,Not Rated,101 min,"Drama, FilmNoir",7.9,"32,630","32,630",Billy Wilder,"[Ray Milland, Jane Wyman, Phillip Terry, Howard Da Silva]",The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,Drama,FilmNoir,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,desperate life chronic alcoholic followed four day drinking bout,"['Drama', ' FilmNoir']"
560,The Philadelphia Story,-1940,Not Rated,112 min,"Comedy, Romance",7.9,"61,797","61,797",George Cukor,"[Cary Grant, Katharine Hepburn, James Stewart, Ruth Hussey]","When a rich womans ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",Comedy,Romance,None,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,rich womans ex husband tabloid type reporter turn planned remarriage begins learn truth,"['Comedy', ' Romance']"
561,His Girl Friday,-1940,Passed,92 min,"Comedy, Drama, Romance",7.9,"51,961","51,961",Howard Hawks,"[Cary Grant, Rosalind Russell, Ralph Bellamy, Gene Lockhart]",A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,Comedy,Drama,Romance,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,newspaper editor uses every trick book keep ace reporter ex wife remarrying,"['Comedy', ' Drama', ' Romance']"
562,Stagecoach,-1939,Passed,96 min,"Adventure, Drama, Western",7.9,"41,940","41,940",John Ford,"[John Wayne, Claire Trevor, Andy Devine, John Carradine]",A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.,Adventure,Drama,Western,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,group people traveling stagecoach find journey complicated threat geronimo learn something process,"['Adventure', ' Drama', ' Western']"
563,Bringing Up Baby,-1938,Passed,102 min,"Comedy, Family, Romance",7.9,"53,647","53,647",Howard Hawks,"[Katharine Hepburn, Cary Grant, Charles Ruggles, Walter Catlett]","While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",Comedy,Family,Romance,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,trying secure million donation museum befuddled paleontologist pursued flighty often irritating heiress pet leopard baby,"['Comedy', ' Family', ' Romance']"
564,The Adventures of Robin Hood,-1938,PG,102 min,"Action, Adventure, Romance",7.9,"46,070","46,070",Michael Curtiz,"[William Keighley, Errol Flynn, Olivia de Havilland, Basil Rathbone]","When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richards absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.",Action,Adventure,Romance,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,prince john norman lords begin oppressing saxon masses king richards absence saxon lord fights back outlaw leader rebel guerrilla army,"['Action', ' Adventure', ' Romance']"
565,A Night at the Opera,-1935,Passed,96 min,"Comedy, Music, Musical",7.9,"29,899","29,899",Sam Wood,"[Edmund Goulding, Groucho Marx, Chico Marx, Harpo Marx]",A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.,Comedy,Music,Musical,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,sly business manager two wacky friends two opera singers help achieve success humiliating stuffy snobbish enemies,"['Comedy', ' Music', ' Musical']"
566,King Kong,-1933,Passed,100 min,"Adventure, Horror, SciFi",7.9,"77,245","77,245",Merian C. Cooper,"[Ernest B. Schoedsack, Fay Wray, Robert Armstrong, Bruce Cabot]",A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,Adventure,Horror,SciFi,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,film crew goes tropical island exotic location shoot discovers colossal ape takes shine female blonde star captured brought back new york city public exhibition,"['Adventure', ' Horror', ' SciFi']"
567,Freaks,-1932,Not Rated,64 min,"Drama, Horror",7.9,"40,946","40,946",Tod Browning,"[Wallace Ford, Leila Hyams, Olga Baclanova, Roscoe Ates]","A circus beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",Drama,Horror,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,circus beautiful trapeze artist agrees marry leader side show performers deformed friends discover marrying inheritance,"['Drama', ' Horror']"
568,Nosferatu,-1922,Not Rated,94 min,"Fantasy, Horror",7.9,"86,194","86,194",F.W. Murnau,"[Max Schreck, Alexander Granach, Gustav von Wangenheim, Greta Schröder]",Vampire Count Orlok expresses interest in a new residence and real estate agent Hutters wife.,Fantasy,Horror,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,vampire count orlok expresses interest new residence real estate agent hutters wife,"['Fantasy', ' Horror']"
