,Title,Relase,Audience Rating,Runtime,Genre,IMDB Rating,Votes,Box Office Earnings,Director,Actors,Description
184,Rio Bravo,-1959,Passed,141 min,"Action, Drama, Western            ",8,"54,469","54,469",Howard Hawks,"['John Wayne', 'Dean Martin', 'Ricky Nelson', 'Angie Dickinson']","A small-town sheriff in the American West enlists the help of a cripple, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy."
185,Anatomy of a Murder,-1959,Not Rated,161 min,"Crime, Drama, Mystery            ",8,"58,086","58,086",Otto Preminger,"['James Stewart', 'Lee Remick', 'Ben Gazzara', ""Arthur O'Connell""]","In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?"
186,Touch of Evil,-1958,PG-13,95 min,"Crime, Drama, Film-Noir            ",8,"96,490","96,490",Orson Welles,"['Charlton Heston', 'Orson Welles', 'Janet Leigh', 'Joseph Calleia']","A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town."
187,Cat on a Hot Tin Roof,-1958,Not Rated,108 min,Drama            ,8,"43,639","43,639",Richard Brooks,"['Elizabeth Taylor', 'Paul Newman', 'Burl Ives', 'Jack Carson']","Brick Pollitt (Paul Newman), an alcoholic ex-football player, drinks his days away and resists the affections of his wife, Maggie (Dame Elizabeth Taylor). His reunion with his father, Big Daddy (Burl Ives), who is dying of cancer, jogs a host of memories and revelations for both father and son."
188,The Killing,-1956,Approved,84 min,"Crime, Drama, Film-Noir            ",8,"79,161","79,161",Stanley Kubrick,"['Sterling Hayden', 'Coleen Gray', 'Vince Edwards', 'Jay C. Flippen']",Crook Johnny Clay assembles a five man team to plan and execute a daring race-track robbery.
189,The Night of the Hunter,-1955,Not Rated,92 min,"Crime, Drama, Film-Noir            ",8,"79,826","79,826",Charles Laughton,"['Robert Mitchum', 'Shelley Winters', 'Lillian Gish', 'James Gleason']","A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery."
190,La Strada,-1954,Not Rated,108 min,Drama            ,8,"56,613","56,613",Federico Fellini,"['Anthony Quinn', 'Giulietta Masina', 'Richard Basehart', 'Aldo Silvani']","A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way."
191,Diabolique,-1955,Not Rated,117 min,"Crime, Drama, Horror            ",8,"60,085","60,085",Henri-Georges Clouzot,"['Simone Signoret', 'Véra Clouzot', 'Paul Meurisse', 'Charles Vanel']",The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.
192,Stalag 17,-1953,Not Rated,120 min,"Comedy, Drama, War            ",8,"50,148","50,148",Billy Wilder,"['William Holden', 'Don Taylor', 'Otto Preminger', 'Robert Strauss']","When two escaping American World War II prisoners are killed, the German P.O.W. camp barracks black marketeer, J.J. Sefton, is suspected of being an informer."
193,Roman Holiday,-1953,Not Rated,118 min,"Comedy, Romance            ",8,"1,24,055","1,24,055",William Wyler,"['Gregory Peck', 'Audrey Hepburn', 'Eddie Albert', 'Hartley Power']",A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.
194,A Streetcar Named Desire,-1951,PG,122 min,Drama            ,8,"96,766","96,766",Elia Kazan,"['Vivien Leigh', 'Marlon Brando', 'Kim Hunter', 'Karl Malden']",Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.
195,Strangers on a Train,-1951,PG,101 min,"Crime, Film-Noir, Thriller            ",8,"1,20,484","1,20,484",Alfred Hitchcock,"['Farley Granger', 'Robert Walker', 'Ruth Roman', 'Leo G. Carroll']",A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.
196,In a Lonely Place,-1950,Not Rated,94 min,"Drama, Film-Noir, Mystery            ",8,"25,079","25,079",Nicholas Ray,"['Humphrey Bogart', 'Gloria Grahame', 'Frank Lovejoy', 'Carl Benton Reid']","A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts."
197,Kind Hearts and Coronets,-1949,Not Rated,106 min,"Comedy, Crime            ",8,"33,633","33,633",Robert Hamer,"['Dennis Price', 'Alec Guinness', 'Valerie Hobson', 'Joan Greenwood']",A distant poor relative of the Duke of D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.
198,Rope,-1948,Approved,80 min,"Crime, Drama, Mystery            ",8,"1,25,017","1,25,017",Alfred Hitchcock,"['James Stewart', 'John Dall', 'Farley Granger', 'Dick Hogan']",Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.
199,Out of the Past,-1947,Not Rated,97 min,"Crime, Drama, Film-Noir            ",8,"31,537","31,537",Jacques Tourneur,"['Robert Mitchum', 'Jane Greer', 'Kirk Douglas', 'Rhonda Fleming']","A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses and duplicitous dames."
200,Brief Encounter,-1945,Not Rated,86 min,"Drama, Romance            ",8,"34,287","34,287",David Lean,"['Celia Johnson', 'Trevor Howard', 'Stanley Holloway', 'Joyce Carey']","Meeting a stranger in a railway station, a woman is tempted to cheat on her husband."
201,Laura,-1944,Passed,88 min,"Drama, Film-Noir, Mystery            ",8,"41,408","41,408",Otto Preminger,"['Gene Tierney', 'Dana Andrews', 'Clifton Webb', 'Vincent Price']",A police detective falls in love with the woman whose murder he is investigating.
202,The Best Years of Our Lives,-1946,Approved,170 min,"Drama, Romance, War            ",8,"56,050","56,050",William Wyler,"['Myrna Loy', 'Dana Andrews', 'Fredric March', 'Teresa Wright']",Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.
203,Arsenic and Old Lace,-1944,Not Rated,118 min,"Comedy, Crime, Thriller            ",8,"63,905","63,905",Frank Capra,"['Cary Grant', 'Priscilla Lane', 'Raymond Massey', 'Jack Carson']","A drama critic learns on his wedding day that his beloved maiden aunts are homicidal maniacs, and that insanity runs in his family."
204,The Maltese Falcon,-1941,Not Rated,100 min,"Film-Noir, Mystery            ",8,"1,46,318","1,46,318",John Huston,"['Humphrey Bogart', 'Mary Astor', 'Gladys George', 'Peter Lorre']","A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette."
205,The Grapes of Wrath,-1940,Passed,129 min,"Drama, History            ",8,"84,382","84,382",John Ford,"['Henry Fonda', 'Jane Darwell', 'John Carradine', 'Charley Grapewin']","A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression."
206,The Wizard of Oz,-1939,PG,102 min,"Adventure, Family, Fantasy            ",8,"3,65,359","3,65,359",Victor Fleming,"['George Cukor', 'Mervyn LeRoy', 'Norman Taurog', 'Richard Thorpe']",Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.
207,The Rules of the Game,-1939,Not Rated,110 min,"Comedy, Drama            ",8,"25,957","25,957",Jean Renoir,"['Marcel Dalio', 'Nora Gregor', 'Paulette Dubost', 'Mila Parély']","A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."
208,The Thin Man,-1934,TV-PG,91 min,"Comedy, Crime, Mystery            ",8,"25,626","25,626",W.S. Van Dyke,"['William Powell', 'Myrna Loy', ""Maureen O'Sullivan"", 'Nat Pendleton']","Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it."
209,All Quiet on the Western Front,-1930,Passed,152 min,"Drama, War            ",8,"56,092","56,092",Lewis Milestone,"['Lew Ayres', 'Louis Wolheim', 'John Wray', 'Arnold Lucy']",A young soldier faces profound disillusionment in the soul-destroying horror of World War I.
210,Battleship Potemkin,-1925,Not Rated,66 min,"Drama, History, Thriller            ",8,"51,533","51,533",Sergei M. Eisenstein,"['Aleksandr Antonov', 'Vladimir Barskiy', 'Grigoriy Aleksandrov', 'Ivan Bobrov']","In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre."
211,Knives Out,-2019,PG-13,130 min,"Comedy, Crime, Drama            ",7.9,"3,53,007","3,53,007",Rian Johnson,"['Daniel Craig', 'Chris Evans', 'Ana de Armas', 'Jamie Lee Curtis']","A detective investigates the death of a patriarch of an eccentric, combative family."
212,The Gentlemen,-2019,R,113 min,"Action, Comedy, Crime            ",7.9,"1,65,837","1,65,837",Guy Ritchie,"['Matthew McConaughey', 'Charlie Hunnam', 'Michelle Dockery', 'Jeremy Strong']","An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
213,Call Me by Your Name,-2017,R,132 min,"Drama, Romance            ",7.9,"1,96,769","1,96,769",Luca Guadagnino,"['Armie Hammer', 'Timothée Chalamet', 'Michael Stuhlbarg', 'Amira Casar']","In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
214,"I, Daniel Blake",-2016,R,100 min,Drama            ,7.9,"51,096","51,096",Ken Loach,"['Laura Obiols', 'Dave Johns', 'Hayley Squires', 'Sharon Percy']","After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance."
215,Isle of Dogs,-2018,PG-13,101 min,"Animation, Adventure, Comedy            ",7.9,"1,31,373","1,31,373",Wes Anderson,"['Bryan Cranston', 'Koyu Rankin', 'Edward Norton', 'Bob Balaban']","Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog."
216,Dunkirk,-2017,PG-13,106 min,"Action, Drama, History            ",7.9,"5,25,270","5,25,270",Christopher Nolan,"['Fionn Whitehead', 'Barry Keoghan', 'Mark Rylance', 'Tom Hardy']","Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
217,Hunt for the Wilderpeople,-2016,PG-13,101 min,"Adventure, Comedy, Drama            ",7.9,"1,03,445","1,03,445",Taika Waititi,"['Sam Neill', 'Julian Dennison', 'Rima Te Wiata', 'Rachel House']",A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.
218,Captain Fantastic,-2016,R,118 min,"Comedy, Drama            ",7.9,"1,80,567","1,80,567",Matt Ross,"['Viggo Mortensen', 'George MacKay', 'Samantha Isler', 'Annalise Basso']","In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
219,Sing Street,-2016,PG-13,106 min,"Comedy, Drama, Music            ",7.9,"82,251","82,251",John Carney,"['Ferdia Walsh-Peelo', 'Aidan Gillen', 'Maria Doyle Kennedy', 'Jack Reynor']",A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.
220,Thor: Ragnarok,-2017,PG-13,130 min,"Action, Adventure, Comedy            ",7.9,"5,59,911","5,59,911",Taika Waititi,"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Mark Ruffalo']","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
221,Little Women,-2019,PG,135 min,"Drama, Romance            ",7.9,"1,16,611","1,16,611",Greta Gerwig,"['Saoirse Ronan', 'Emma Watson', 'Florence Pugh', 'Eliza Scanlen']","Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms."
222,Nightcrawler,-2014,R,117 min,"Crime, Drama, Thriller            ",7.9,"4,45,173","4,45,173",Dan Gilroy,"['Jake Gyllenhaal', 'Rene Russo', 'Bill Paxton', 'Riz Ahmed']","When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story."
223,Jojo Rabbit,-2019,PG-13,108 min,"Comedy, Drama, War            ",7.9,"2,39,408","2,39,408",Taika Waititi,"['Roman Griffin Davis', 'Thomasin McKenzie', 'Scarlett Johansson', 'Taika Waititi']",A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.
224,Arrival,(II) (2016),PG-13,116 min,"Drama, Mystery, Sci-Fi            ",7.9,"5,71,590","5,71,590",Denis Villeneuve,"['Amy Adams', 'Jeremy Renner', 'Forest Whitaker', 'Michael Stuhlbarg']",A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.
225,Star Wars: Episode VII - The Force Awakens,-2015,PG-13,138 min,"Action, Adventure, Sci-Fi            ",7.9,"8,42,514","8,42,514",J.J. Abrams,"['Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Domhnall Gleeson']","As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
226,Before Midnight,-2013,R,109 min,"Drama, Romance            ",7.9,"1,35,347","1,35,347",Richard Linklater,"['Ethan Hawke', 'Julie Delpy', 'Seamus Davey-Fitzpatrick', 'Ariane Labed']",We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.
227,Once Upon a Time in Anatolia,-2011,Not Rated,157 min,"Crime, Drama            ",7.9,"39,601","39,601",Nuri Bilge Ceylan,"['Muhammet Uzuner', 'Yilmaz Erdogan', 'Taner Birsel', 'Ahmet Mümtaz Taylan']",A group of men set out in search of a dead body in the Anatolian steppes.
228,The Artist,(I) (2011),PG-13,100 min,"Comedy, Drama, Romance            ",7.9,"2,26,570","2,26,570",Michel Hazanavicius,"['Jean Dujardin', 'Bérénice Bejo', 'John Goodman', 'James Cromwell']",An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.
229,Edge of Tomorrow,-2014,PG-13,113 min,"Action, Adventure, Sci-Fi            ",7.9,"5,83,356","5,83,356",Doug Liman,"['Tom Cruise', 'Emily Blunt', 'Bill Paxton', 'Brendan Gleeson']","A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies."
230,Amour,-2012,PG-13,127 min,"Drama, Romance            ",7.9,"90,739","90,739",Michael Haneke,"['Jean-Louis Trintignant', 'Emmanuelle Riva', 'Isabelle Huppert', 'Alexandre Tharaud']","Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested."
231,The Irishman,-2019,R,209 min,"Biography, Crime, Drama            ",7.9,"2,99,496","2,99,496",Martin Scorsese,"['Robert De Niro', 'Al Pacino', 'Joe Pesci', 'Harvey Keitel']","An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s."
232,A Prophet,-2009,R,155 min,"Crime, Drama            ",7.9,"91,757","91,757",Jacques Audiard,"['Tahar Rahim', 'Niels Arestrup', 'Adel Bencherif', 'Reda Kateb']",A young Arab man is sent to a French prison.
233,The Chaser,-2008,Not Rated,125 min,"Action, Crime, Thriller            ",7.9,"55,755","55,755",Hong-jin Na,"['Yoon-seok Kim', 'Jung-woo Ha', 'Yeong-hie Seo', 'Yoo-Jeong Kim']",A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.
234,Moon,-2009,R,97 min,"Drama, Mystery, Sci-Fi            ",7.9,"3,28,344","3,28,344",Duncan Jones,"['Sam Rockwell', 'Kevin Spacey', 'Dominique McElligott', 'Rosie Shaw']","Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems."
235,Let the Right One In,-2008,R,114 min,"Crime, Drama, Fantasy            ",7.9,"2,02,047","2,02,047",Tomas Alfredson,"['Kåre Hedebrant', 'Lina Leandersson', 'Per Ragnar', 'Henrik Dahl']","Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl."
236,District 9,-2009,R,112 min,"Action, Sci-Fi, Thriller            ",7.9,"6,28,542","6,28,542",Neill Blomkamp,"['Sharlto Copley', 'David James', 'Jason Cope', 'Nathalie Boltt']",Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.
237,The Wrestler,-2008,R,109 min,"Drama, Sport            ",7.9,"2,85,618","2,85,618",Darren Aronofsky,"['Mickey Rourke', 'Marisa Tomei', 'Evan Rachel Wood', 'Mark Margolis']","A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle."
238,Jab We Met,-2007,Not Rated,138 min,"Comedy, Drama, Romance            ",7.9,"46,051","46,051",Imtiaz Ali,"['Shahid Kapoor', 'Kareena Kapoor', 'Tarun Arora', 'Dara Singh']",A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
239,Boyhood,(I) (2014),R,165 min,Drama            ,7.9,"3,29,639","3,29,639",Richard Linklater,"['Ellar Coltrane', 'Patricia Arquette', 'Ethan Hawke', 'Elijah Smith']","The life of Mason, from early childhood to his arrival at college."
240,"4 Months, 3 Weeks and 2 Days",-2007,Not Rated,113 min,Drama            ,7.9,"55,241","55,241",Cristian Mungiu,"['Anamaria Marinca', 'Laura Vasiliu', 'Vlad Ivanov', 'Alexandru Potocean']",A woman assists her friend in arranging an illegal abortion in 1980s Romania.
241,Star Trek,-2009,PG-13,127 min,"Action, Adventure, Sci-Fi            ",7.9,"5,70,711","5,70,711",J.J. Abrams,"['Chris Pine', 'Zachary Quinto', 'Simon Pegg', 'Leonard Nimoy']",The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.
242,In Bruges,-2008,R,107 min,"Comedy, Crime, Drama            ",7.9,"3,82,091","3,82,091",Martin McDonagh,"['Colin Farrell', 'Brendan Gleeson', 'Ciarán Hinds', 'Elizabeth Berrington']","Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be."
243,The Man from Earth,-2007,Not Rated,87 min,"Drama, Fantasy, Sci-Fi            ",7.9,"1,69,854","1,69,854",Richard Schenkman,"['David Lee Smith', 'Tony Todd', 'John Billingsley', 'Ellen Crawford']",An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.
244,Letters from Iwo Jima,-2006,R,141 min,"Action, Adventure, Drama            ",7.9,"1,51,682","1,51,682",Clint Eastwood,"['Ken Watanabe', 'Kazunari Ninomiya', 'Tsuyoshi Ihara', 'Ryô Kase']","The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it."
245,The Fall,-2006,R,117 min,"Adventure, Drama, Fantasy            ",7.9,"1,05,505","1,05,505",Tarsem Singh,"['Lee Pace', 'Catinca Untaru', 'Justine Waddell', 'Kim Uylenbroek']","In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances."
246,Life of Pi,-2012,PG,127 min,"Adventure, Drama, Fantasy            ",7.9,"5,68,083","5,68,083",Ang Lee,"['Suraj Sharma', 'Irrfan Khan', 'Adil Hussain', 'Tabu']","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
247,Fantastic Mr. Fox,-2009,PG,87 min,"Animation, Adventure, Comedy            ",7.9,"1,91,700","1,91,700",Wes Anderson,"['George Clooney', 'Meryl Streep', 'Bill Murray', 'Jason Schwartzman']",An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.
248,C.R.A.Z.Y.,-2005,Not Rated,127 min,"Comedy, Drama            ",7.9,"31,126","31,126",Jean-Marc Vallée,"['Michel Côté', 'Marc-André Grondin', 'Danielle Proulx', 'Émile Vallée']","A young French-Canadian, growing up in the 1960s and 1970s, struggles to reconcile his emerging homosexuality with his father's conservative values and his own Catholic beliefs."
249,The Chorus,-2004,PG-13,97 min,"Drama, Music            ",7.9,"55,963","55,963",Christophe Barratier,"['Gérard Jugnot', 'François Berléand', 'Jean-Baptiste Maunier', 'Kad Merad']",The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.
